TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.3,Q,13102136269ACC_ITEM.10111,국내총생산(GDP)(실질 계절조정 전기비),Gross domestic product,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-0.2,Q,13102136269ACC_ITEM.10111,국내총생산(GDP)(실질 계절조정 전기비),Gross domestic product,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.3,Q,13102136269ACC_ITEM.10112,비농림어업GDP,Non agriculture forestry and fishing,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-0.3,Q,13102136269ACC_ITEM.10112,비농림어업GDP,Non agriculture forestry and fishing,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.8,Q,13102136269ACC_ITEM.10113,농림어업,Agriculture forestry and fishing,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,5.4,Q,13102136269ACC_ITEM.10113,농림어업,Agriculture forestry and fishing,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0.9,Q,13102136269ACC_ITEM.10114,제조업,Manufacturing,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0.7,Q,13102136269ACC_ITEM.10114,제조업,Manufacturing,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,5.5,Q,13102136269ACC_ITEM.10115,건설업,Construction,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-5.4,Q,13102136269ACC_ITEM.10115,건설업,Construction,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0.9,Q,13102136269ACC_ITEM.10116,서비스업,Services,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0,Q,13102136269ACC_ITEM.10116,서비스업,Services,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.4,Q,13102136269ACC_ITEM.10117,ICT산업,ICT industry,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0,Q,13102136269ACC_ITEM.10117,ICT산업,ICT industry,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.3,Q,13102136269ACC_ITEM.10118,비ICT산업,Non ICT industry,2024-07-30
