TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,PRD_SE,C2,C1,C1_NM,C2_NM,C1_NM_ENG,C2_NM_ENG,LST_CHN_DE
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,명,101,Person,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2.288,Q,2,M0,전체 평균,가구원수,Total average,The number of hosehold members,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,명,101,Person,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2.278,Q,2,M0,전체 평균,가구원수,Total average,The number of hosehold members,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,명,101,Person,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2.392,Q,2,M0,전체 평균,가구원수,Total average,The number of hosehold members,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,명,101,Person,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2.388,Q,2,M0,전체 평균,가구원수,Total average,The number of hosehold members,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,명,101,Person,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2.103,Q,2,M0,전체 평균,가구원수,Total average,The number of hosehold members,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,명,101,Person,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2.088,Q,2,M0,전체 평균,가구원수,Total average,The number of hosehold members,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,세,101,Age,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,51.733,Q,4,M0,전체 평균,가구주연령,Total average,Age of household's head,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,세,101,Age,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,52.143,Q,4,M0,전체 평균,가구주연령,Total average,Age of household's head,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,세,101,Age,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,47.944,Q,4,M0,전체 평균,가구주연령,Total average,Age of household's head,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,세,101,Age,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,48.364,Q,4,M0,전체 평균,가구주연령,Total average,Age of household's head,2024-05-20
