TBL_NM,ITM_NM_ENG,ITM_ID,ORG_ID,C1_OBJ_NM,C2_OBJ_NM,C3_OBJ_NM,C2,C1_NM_ENG,C2_NM_ENG,C3_NM_ENG,LST_CHN_DE,PRD_DE,ITM_NM,TBL_ID,C1_OBJ_NM_ENG,C2_OBJ_NM_ENG,C3_OBJ_NM_ENG,C3,DT,PRD_SE,C1,C1_NM,C2_NM,C3_NM
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Total population(persons),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,10,47863071,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총인구(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Total population(persons),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,10,47495914,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총인구(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Total population(persons),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,10,47106960,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총인구(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Total population(persons),2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,10,46697391,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총인구(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Total population(persons),2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,10,46267614,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총인구(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Male(persons),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,11,23820596,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,남자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Male(persons),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,11,23636945,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,남자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Male(persons),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,11,23443302,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,남자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Male(persons),2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,11,23240251,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,남자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Male(persons),2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,11,23028412,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,남자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Female(persons),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,12,24042475,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,여자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Female(persons),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,12,23858969,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,여자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Female(persons),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,12,23663658,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,여자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Female(persons),2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,12,23457140,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,여자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Female(persons),2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,12,23239202,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,여자(명)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Sex ratio(males per 100 females),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,13,99.1,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,성비(여자1백명당)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Sex ratio(males per 100 females),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,13,99.1,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,성비(여자1백명당)
