TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,ORG_ID,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
경기종합지수(2020＝100)(10차),202403,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,114.3,M,A00,선행종합지수(2020＝100),Composite Leading Index,2024-04-25
경기종합지수(2020＝100)(10차),202404,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,114.9,M,A00,선행종합지수(2020＝100),Composite Leading Index,2024-06-24
경기종합지수(2020＝100)(10차),202405,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,115.1,M,A00,선행종합지수(2020＝100),Composite Leading Index,2024-06-24
경기종합지수(2020＝100)(10차),202403,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,0.1,M,A01,선행종합지수 전월비(%),Composite Leading Index (percent change),2024-04-25
경기종합지수(2020＝100)(10차),202404,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,0.5,M,A01,선행종합지수 전월비(%),Composite Leading Index (percent change),2024-06-24
경기종합지수(2020＝100)(10차),202405,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,0.2,M,A01,선행종합지수 전월비(%),Composite Leading Index (percent change),2024-06-24
경기종합지수(2020＝100)(10차),202403,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,-2.9,M,A0201,재고순환지표(전월차)(%p),Inventory circulation indicator (difference),2024-06-24
경기종합지수(2020＝100)(10차),202404,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,1,M,A0201,재고순환지표(전월차)(%p),Inventory circulation indicator (difference),2024-05-27
경기종합지수(2020＝100)(10차),202405,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,0.2,M,A0201,재고순환지표(전월차)(%p),Inventory circulation indicator (difference),2024-06-24
경기종합지수(2020＝100)(10차),202403,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,0.3,M,A0202,경제심리지수(전월차)(p),Economic Sentiment Index (difference),2024-04-25
경기종합지수(2020＝100)(10차),202404,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,1,M,A0202,경제심리지수(전월차)(p),Economic Sentiment Index (difference),2024-05-27
경기종합지수(2020＝100)(10차),202405,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,0.2,M,A0202,경제심리지수(전월차)(p),Economic Sentiment Index (difference),2024-06-24
경기종합지수(2020＝100)(10차),202403,DT_1C8015,경기종합지수,Composite Economic Indexes(2020＝100),T1,101,지수별,By indicators,-2.1,M,A0203,기계류내수출하지수(선박제외)(전월비)(%),Producer's Shipment Index Machinery for Domestic Demand (excluding Vessels percent change),2024-06-24
