TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,십억원,301,Bil.Won,계정항목별,ACCOUNT,2401189.4,A,13102136288ACC_ITEM.10101,국내총생산(명목 원화표시),Gross domestic product (current prices won),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,억달러,301,Hund.M U$,계정항목별,ACCOUNT,18394.1,A,13102136288ACC_ITEM.1010101,국내총생산(명목 달러표시),Gross domestic product (current prices dollar),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,십억원,301,Bil.Won,계정항목별,ACCOUNT,2443318.1,A,13102136288ACC_ITEM.10102,국민총소득(명목 원화표시),Gross national income (current prices won),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,억달러,301,Hund.M U$,계정항목별,ACCOUNT,18716.9,A,13102136288ACC_ITEM.1010201,국민총소득(명목 달러표시),Gross national income (current prices dollar),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,십억원,301,Bil.Won,계정항목별,ACCOUNT,1696928,A,13102136288ACC_ITEM.10103,요소비용국민소득(명목),National income at factor cost (current prices),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,십억원,301,Bil.Won,계정항목별,ACCOUNT,1894840.8,A,13102136288ACC_ITEM.10104,국민처분가능소득(명목),National disposable income (current prices),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,십억원,301,Bil.Won,계정항목별,ACCOUNT,2438286.4,A,13102136288ACC_ITEM.10105,국민총처분가능소득(명목),Gross national disposable income (current prices),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,십억원,301,Bil.Won,계정항목별,ACCOUNT,1316228.8,A,13102136288ACC_ITEM.101051,가계총처분가능소득(명목),Personal gross disposable income (current prices),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,만원,301,10Thou.Won,계정항목별,ACCOUNT,4724.8,A,13102136288ACC_ITEM.10106,1인당 국민총소득(명목 원화표시),Per capita GNI (current prices won),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,달러,301,U$,계정항목별,ACCOUNT,36194,A,13102136288ACC_ITEM.1010601,1인당 국민총소득(명목 달러표시),Per capita GNI (current prices dollar),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,만원,301,10Thou.Won,계정항목별,ACCOUNT,2545.3,A,13102136288ACC_ITEM.1010602,1인당 가계총처분가능소득(명목 원화표시),Per capita PGDI (current prices won),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,달러,301,U$,계정항목별,ACCOUNT,19497.9,A,13102136288ACC_ITEM.1010603,1인당 가계총처분가능소득(명목 달러표시),Per capita PGDI (current prices dollar),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,만원,301,10Thou.Won,계정항목별,ACCOUNT,4643.3,A,13102136288ACC_ITEM.10107,1인당 국내총생산(명목 원화표시),Per capita GDP (current prices won),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,달러,301,U$,계정항목별,ACCOUNT,35569.9,A,13102136288ACC_ITEM.1010701,1인당 국내총생산(명목 달러표시),Per capita GDP (current prices dollar),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.4,A,13102136288ACC_ITEM.20101,국내총생산(실질성장률),Gross domestic product,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,-2.6,A,13102136288ACC_ITEM.2010101,농림어업,Agriculture forestry and fishing,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.7,A,13102136288ACC_ITEM.2010102,광공업,Mining quarrying and manufacturing,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.7,A,13102136288ACC_ITEM.2010103,(제조업),(Manufacturing),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,-2.9,A,13102136288ACC_ITEM.2010104,전기 가스 및 수도사업,Electricity gas and water supply,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,3.1,A,13102136288ACC_ITEM.2010105,건설업,Construction,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,2.1,A,13102136288ACC_ITEM.2010106,서비스업,Services,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,-4.4,A,13102136288ACC_ITEM.2010107,순생산물세,Taxes less subsidies on products,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.6,A,13102136288ACC_ITEM.20102,국내총소득,Gross domestic income,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,2.2,A,13102136288ACC_ITEM.20103,국민총소득,Gross national income,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.6,A,13102136288ACC_ITEM.30101,최종소비지출(실질증감률),Final consumption expenditure,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.8,A,13102136288ACC_ITEM.3010101,민간,Private,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.3,A,13102136288ACC_ITEM.3010102,정부,Government,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.4,A,13102136288ACC_ITEM.30102,총고정자본형성,Gross fixed capital formation,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.5,A,13102136288ACC_ITEM.3010201,건설투자,Construction,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,3.1,A,13102136288ACC_ITEM.3010202,(건물건설),(Buildings),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,-2.8,A,13102136288ACC_ITEM.3010203,(토목건설),(Other construction),2024-07-30
